cell_id,amplified_quantity_ng,percent_cdna_longer_than_400bp,reporter_status,post_patch,number_genes,rna_amp_pass_fail,transgenic_line,normalized_marker_sum,normalized_marker_sum_pass_fail,class,normalized_marker_sum_bin,total_reads,percent_reads_aligned_to_introns,Malat1,recording_duration,retrieval_duration,extraction_duration,morpho_call,endpipetter,cell_health,cell_in_slice,total_cells_in_slice,slice_name,dataset,percent_reads_Malat1,Ramp total count,Subthreshold Long Square total count,Suprathreshold Long Square total count,Ramp additional count,Subthreshold Long Square additional count,Suprathreshold Long Square additional count
639615709,9.003265743,41.8,tdt-,nucleus+,4252,Pass,Nos1-CreERT2;Sst-IRES-FlpO,0.603677317,Pass,excitatory,0.7,1606593,29.49901488,54217.78414,,,,high quality,1022.883456,,1,2,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350934.04.01,early,5.421778414,,,,,,
639636584,13.78002449,70.2,tdt-,nucleus+,6368,Pass,Nos1-CreERT2;Sst-IRES-FlpO,0.952667979,Pass,excitatory,1,1559556,47.81943028,43011.42737,,,,high quality,1084.450432,,2,2,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350934.04.01,early,4.301142737,,,,,,
639695961,2.548507488,48.6,tdt+,nucleus-,2747,Fail,Chrna2-Cre_OE25,0.438761897,Pass,inhibitory,0.5,1516755,19.32615219,10081.24956,4.1205,0.633333333,3.333333333,failed,6.474288,,1,4,Chrna2-Cre_OE25;Ai14-351067.04.01,early,1.008124956,,,,,,
639701690,5.740796331,61.8,tdt+,nucleus+,4897,Pass,Chrna2-Cre_OE25,0.494204352,Pass,inhibitory,0.5,1511816,32.13545848,45501.17069,4.103833334,0.75,1.6,insufficient axon,1941.77088,,2,4,Chrna2-Cre_OE25;Ai14-351067.04.01,early,4.550117069,,,,,,
639715846,15.4014261,71.5,tdt+,nucleus+,7375,Pass,Chrna2-Cre_OE25,1.0147914,Pass,inhibitory,1.1,1334971,36.47618207,34069.86454,3.387166667,0.466666667,1.966666667,medium quality,1819.377792,,3,4,Chrna2-Cre_OE25;Ai14-351067.04.01,early,3.406986454,,,,,,
639725628,11.07791346,27.4,tdt+,nucleus-,4070,Fail,Chrna2-Cre_OE25,0.331497397,Fail,excitatory,0.4,1260528,6.190824801,2283.72336,3.8205,0.7,6.35,failed,44.900448,,4,4,Chrna2-Cre_OE25;Ai14-351067.04.01,early,0.228372336,,,,,,
639568687,10.79625209,31.4,tdt+,nucleus+,5200,Pass,Oxtr-T2A-Cre,0.543618561,Pass,inhibitory,0.6,1281478,36.97280239,88497.29841,,,,high quality,1278.28544,,1,3,Oxtr-T2A-Cre;Ai14-351467.05.02,early,8.849729841,,,,,,
639604957,5.98355781,29.5,tdt+,nucleus+,2941,Fail,Oxtr-T2A-Cre,0.220131774,Fail,excitatory,0.3,988392,15.62726042,14285.35022,,,,failed,335.935232,,2,3,Oxtr-T2A-Cre;Ai14-351467.05.02,early,1.428535022,,,,,,
639622744,19.13361701,60.9,tdt+,nucleus-,6198,Pass,Oxtr-T2A-Cre,0.255156328,Fail,excitatory,0.3,1433750,15.59376022,6049.950451,,,,failed,6.9785135,,3,3,Oxtr-T2A-Cre;Ai14-351467.05.02,early,0.604995045,,,,,,
639674270,12.07122822,43,tdt+,nucleus+,5026,Pass,Chrna2-Cre_OE25,1.129149547,Pass,inhibitory,1.2,1458177,24.55767765,31551.44434,3.0205,0.233333333,2.183333333,high quality,950.982144,,1,2,Chrna2-Cre_OE25;Ai14-351067.04.02,early,3.155144434,,,,,,
639689311,20.74563011,43.3,tdt+,nucleus+,6587,Pass,Chrna2-Cre_OE25,0.702412178,Pass,inhibitory,0.8,1606013,26.17768458,32912.02042,4.187166667,0.516666667,2.8,insufficient axon,,,2,2,Chrna2-Cre_OE25;Ai14-351067.04.02,early,3.291202042,,,,,,
639708328,11.64571676,67.2,tdt+,nucleus+,6965,Pass,Chrna2-Cre_OE25,0.798287471,Pass,inhibitory,0.8,1573702,39.08176159,23168.79302,4.5705,1.333333333,1.583333333,high quality,1212.112384,,1,2,Chrna2-Cre_OE25;Ai14-351067.03.02,early,2.316879302,,,,,,
639719157,6.906474932,31.9,tdt+,nucleus-,3222,Fail,Chrna2-Cre_OE25,0.548307929,Pass,inhibitory,0.6,1101673,4.271496676,6517.170996,4.787166667,0.733333333,5.416666667,failed,31.198544,,2,2,Chrna2-Cre_OE25;Ai14-351067.03.02,early,0.6517171,,,,,,
639568972,15.49783026,62.3,tdt+,nucleus+,6668,Pass,Oxtr-T2A-Cre,0.728374915,Pass,inhibitory,0.8,1372685,48.00418336,28565.82328,,,,high quality,398.539872,,1,1,Oxtr-T2A-Cre;Ai14-351467.03.01,early,2.856582328,,,,,,
639689999,11.1256483,75.1,tdt+,nucleus+,6613,Pass,Gad2-IRES-Cre,0.907592289,Pass,inhibitory,1,1525021,38.25902497,29821.16973,2.7705,0.283333333,1.85,failed,1814.099712,,1,1,Gad2-IRES-Cre;Ai14-350672.03.01,early,2.982116973,,,,,,
